2026-06-09 22:04:04 - POST /reindex - 200 - 26.97ms
2026-06-09 22:04:04 - GET /search/index - 200 - 6.42ms
2026-06-09 22:04:04 - GET /search/overview - 200 - 8.67ms
2026-06-09 22:04:04 - GET /search/callers - 200 - 3.58ms
2026-06-09 22:04:04 - GET /search/callees - 200 - 1.64ms
2026-06-09 22:04:04 - GET /search/function-signature - 200 - 2.55ms
2026-06-09 22:04:04 - GET /search/function-body - 200 - 2.00ms
2026-06-09 22:04:05 - GET /docs - 200 - 1.01ms
2026-06-09 22:04:15 - GET /docs - 200 - 1.09ms
2026-06-09 22:04:20 - GET /logs/stream - 200 - 1.08ms
2026-06-09 22:04:25 - GET /docs - 200 - 0.98ms
2026-06-09 22:04:35 - GET /docs - 200 - 0.39ms
2026-06-09 22:04:38 - GET /logs/stream - 200 - 0.51ms
2026-06-09 22:04:45 - GET /docs - 200 - 0.51ms
2026-06-09 22:04:55 - GET /docs - 200 - 0.71ms
2026-06-09 22:04:56 - GET /logs/stream - 200 - 0.89ms
2026-06-09 22:05:05 - GET /docs - 200 - 1.07ms
2026-06-09 22:05:14 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:05:15 - GET /docs - 200 - 0.00ms
2026-06-09 22:05:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:05:32 - GET /logs/stream - 200 - 1.53ms
2026-06-09 22:05:35 - GET /docs - 200 - 1.28ms
2026-06-09 22:05:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:05:50 - GET /logs/stream - 200 - 1.01ms
2026-06-09 22:05:55 - GET /docs - 200 - 1.73ms
2026-06-09 22:06:05 - GET /docs - 200 - 1.52ms
2026-06-09 22:06:08 - GET /logs/stream - 200 - 1.12ms
2026-06-09 22:06:15 - GET /docs - 200 - 0.00ms
2026-06-09 22:06:25 - GET /docs - 200 - 1.63ms
2026-06-09 22:06:26 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:06:35 - GET /docs - 200 - 1.12ms
2026-06-09 22:06:44 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:06:45 - GET /docs - 200 - 0.79ms
2026-06-09 22:06:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:07:02 - GET /logs/stream - 200 - 1.42ms
2026-06-09 22:07:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:07:15 - GET /docs - 200 - 1.00ms
2026-06-09 22:07:20 - GET /logs/stream - 200 - 3.06ms
2026-06-09 22:07:25 - GET /docs - 200 - 0.98ms
2026-06-09 22:07:35 - GET /docs - 200 - 2.55ms
2026-06-09 22:07:38 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:07:45 - GET /docs - 200 - 1.01ms
2026-06-09 22:07:55 - GET /docs - 200 - 0.55ms
2026-06-09 22:07:56 - GET /logs/stream - 200 - 1.55ms
2026-06-09 22:08:05 - GET /docs - 200 - 1.07ms
2026-06-09 22:08:14 - GET /logs/stream - 200 - 3.00ms
2026-06-09 22:08:15 - GET /docs - 200 - 1.00ms
2026-06-09 22:08:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:08:33 - GET /logs/stream - 200 - 1.41ms
2026-06-09 22:08:35 - GET /docs - 200 - 1.02ms
2026-06-09 22:08:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:08:51 - GET /logs/stream - 200 - 1.72ms
2026-06-09 22:08:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:09:05 - GET /docs - 200 - 1.12ms
2026-06-09 22:09:09 - GET /logs/stream - 200 - 1.08ms
2026-06-09 22:09:15 - GET /docs - 200 - 1.00ms
2026-06-09 22:09:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:09:27 - GET /logs/stream - 200 - 1.00ms
2026-06-09 22:09:35 - GET /docs - 200 - 1.11ms
2026-06-09 22:09:45 - GET /logs/stream - 200 - 2.24ms
2026-06-09 22:09:45 - GET /docs - 200 - 0.58ms
2026-06-09 22:09:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:10:03 - GET /logs/stream - 200 - 1.69ms
2026-06-09 22:10:05 - GET /docs - 200 - 1.14ms
2026-06-09 22:10:15 - GET /docs - 200 - 0.00ms
2026-06-09 22:10:21 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:10:25 - GET /docs - 200 - 3.40ms
2026-06-09 22:10:35 - GET /docs - 200 - 0.00ms
